instancia;pior;medio;melhor;pior;medio;melhor;
TO;0.3395515890207582;0.35458116953406804;0.3680274761321829;0.31688045919284685;0.33241402295675193;0.3489700053219162;
PA;0.33471930860802723;0.3664920443317426;0.39928989096303236;0.25182054303327506;0.27685042164816404;0.30465519339983693;
PE;0.6719034834591213;0.6737329260716045;0.6759756022845158;0.6712400464955747;0.673910667830843;0.6759659218478555;
SC;0.9466910330140336;0.9500423835228414;0.9522069689970275;0.9448777282696779;0.946967381048763;0.9493153803716871;
PR;0.6515622847493817;0.6558874918260281;0.6577232057795964;0.6467922564072254;0.64858386255516;0.6507498350788395;
GO;0.624362527746178;0.6405954447386507;0.654773552643987;0.5692086687526948;0.6032935404147964;0.6412377995666391;
MG;0.7603915728779861;0.7950630538535922;0.803666718102404;0.7005222430619933;0.7658740756295809;0.7960796387717923;
