a;b;c;d;e;f
420557.0;3948718.0458668615;0.45435707924197566;0.15020792331287103;0.23076690272130213;0.9087141584839513
420225.0;3883828.5466740387;0.45896555096969927;0.1508787740405016;0.22697469761221925;0.9179311019393985
419791.0;3963193.322507997;0.44275432425932437;0.1517557295097536;0.23161285189207295;0.8855086485186487
419525.0;3882770.9002780346;0.45475233487632016;0.15229321834574677;0.22691288773363455;0.9095046697526403
419264.0;3897613.426574011;0.4518641570193719;0.15282060400813102;0.22778029932952376;0.9037283140387438
418712.0;3514791.0373517936;0.45516954018874217;0.15393599437455294;0.2054077885482973;0.9103390803774843
418640.0;3706542.1516400967;0.45193220656363686;0.15408148007452102;0.21661390917369536;0.9038644131272737
418584.0;3440598.785486767;0.45311499683777706;0.15419463561894062;0.20107192157325923;0.9062299936755541
418561.0;3457419.007422419;0.45137283345848966;0.15424111021754153;0.20205491161561948;0.9027456669169793
418149.0;3763857.51491445;0.4505892423727641;0.1550736117229144;0.2199634744522325;0.9011784847455282
418145.0;3814845.586313251;0.450244596970606;0.15508169426180152;0.22294326667233033;0.900489193941212
417852.0;3100119.503404838;0.4551450578024406;0.15567374023528271;0.18117398293743786;0.9102901156048812
417692.0;4232933.648315753;0.44117686846237336;0.15599704179076732;0.24737673748801847;0.8823537369247467
417390.0;3022716.1823333213;0.4531904925021188;0.15660727347674452;0.17665045797147763;0.9063809850042376
417083.0;3291583.5337998453;0.452619609818655;0.15722760833633062;0.19236332610237722;0.90523921963731
417074.0;3811987.0301002795;0.44910760572805203;0.1572457940488266;0.22277620988178215;0.8982152114561041
416948.0;3019957.038269841;0.4570167058573484;0.15750039402377075;0.17648921092312034;0.9140334117146968
416813.0;4434289.727412198;0.4389099519175825;0.15777317971121088;0.25914418154896596;0.877819903835165
416786.0;3483804.9108790737;0.4486298990219035;0.1578277368486989;0.20359692934022477;0.897259798043807
416661.0;3809712.1372812605;0.4456470330893765;0.15808031618892127;0.2226432629446319;0.891294066178753
416348.0;3421059.892385001;0.4489709893023539;0.15871277485683802;0.1999300497578186;0.8979419786047078
416207.0;3639178.5697674407;0.44554260266301565;0.15899768435260883;0.21267711627929334;0.8910852053260313
416199.0;3423285.781253506;0.4425744510785416;0.15901384943038308;0.20006013285669277;0.8851489021570832
415903.0;2909046.724604239;0.4582501093447828;0.1596119573080296;0.1700075048941855;0.9165002186895655
415821.0;3369041.9507008414;0.45124368012106175;0.15977764935521546;0.19689007092191377;0.9024873602421235
415747.0;3269331.9508051276;0.44817636061952787;0.15992717632462708;0.1910629220652463;0.8963527212390557
415747.0;3385749.2049497934;0.4448040833024753;0.15992717632462708;0.19786645902337457;0.8896081666049506
415667.0;3680505.747783313;0.4399466769232155;0.1600888271023694;0.21509231654382402;0.879893353846431
415552.0;3204882.7402126705;0.4465126364895253;0.16032120009537396;0.18729644784791857;0.8930252729790507
415497.0;3138804.1169604235;0.44983931183476955;0.16043233500507179;0.18343474917840485;0.8996786236695391
415493.0;3129234.1426061112;0.45068488644476734;0.1604404175439589;0.18287547061882817;0.9013697728895347
