a;b;c;d;e;f
502422.0;9905708.287999997;0.2391499715969485;0.014621173341805965;0.38650995658257875;0.478299943193897
502347.0;5830984.1727;0.24010286621896237;0.014768267641019305;0.2275186563038814;0.48020573243792475
502273.0;9638995.6183;0.23370067095085229;0.0149134006829098;0.37610311848593786;0.46740134190170457
502118.0;8387373.644300001;0.2157382385227008;0.015217395567950702;0.3272661912553445;0.4314764770454016
502003.0;4701722.217399999;0.2542215725387014;0.015442940160077823;0.18345608383320683;0.5084431450774028
501988.0;8105637.454700004;0.23601999356929096;0.01547235901992049;0.3162731517629589;0.4720399871385819
501926.0;7293317.453500002;0.20969339671035933;0.015593956973936852;0.28457730939948817;0.41938679342071866
501926.0;7597193.620300005;0.20786888770587392;0.015593956973936852;0.2964342267063134;0.41573777541174783
501861.0;5014649.902399997;0.24365258996846445;0.015721438699921746;0.19566618152903315;0.4873051799369289
501388.0;6620120.933700005;0.235457140096822;0.01664911341362721;0.25830991386608154;0.470914280193644
501137.0;4950566.4812;0.24157391731445607;0.017141389001661185;0.19316571617859682;0.48314783462891214
501007.0;3986278.267799999;0.2675354627227224;0.017396352453630973;0.1555402395687281;0.5350709254454448
500925.0;4509599.802599999;0.26103347798100995;0.017557175554104226;0.17595967630293008;0.5220669559620199
500866.0;4343729.7914999975;0.26103347798100995;0.017672889736152053;0.16948760899338916;0.5220669559620199
500859.0;4616045.895799998;0.25354246747566683;0.017686618537411963;0.18011308700965944;0.5070849349513337
500724.0;5130956894;0.2401159930961856;0.017951388275995975;0.20020435375928403;0.4802319861923712
500572.0;6086877.929700001;0.23170467316650334;0.018249499389068342;0.23750335220166388;0.4634093463330067
500475.0;3830863.474799999;0.2675354627227225;0.018439741349384264;0.14947612349057848;0.535070925445445
500430.0;4824650.795199999;0.2401159930961856;0.018527997928912267;0.18825262315042;0.4802319861923712
500373.0;6579270.564600003;0.22559858769534752;0.018639789596314404;0.2567159769230412;0.45119717539069504
500349.0;5687455.753300001;0.23169078893338169;0.018686859772062674;0.22191833358714405;0.46338157786676337
500068.0;4747123.2517;0.2473495410832374;0.019237973079781985;0.18522758277966336;0.4946990821664748
500063.0;4127719.213699998;0.26102311734172534;0.019247779366396208;0.16105911134138404;0.5220462346834507
500045.0;5250293.972800002;0.23250852312043177;0.01928308199820741;0.20486075669430256;0.46501704624086354
499993.0;7094062.645500001;0.22534950264521875;0.019385067378995327;0.2768026036490425;0.4506990052904375
499884.0;5213869.332599998;0.2392882049952408;0.01959884442718538;0.203439506876226;0.4785764099904816
499877.0;7188251.187900004;0.21247784670006828;0.01961257322844529;0.2804777380639842;0.42495569340013656
499779.0;5694855.324500006;0.23094788646396278;0.019804776446084055;0.22220705680209157;0.46189577292792555
499719.0;4151272.9809999987;0.24418521402126162;0.019922451885454728;0.16197815370683588;0.48837042804252323
499704.0;4856164.290400003;0.24006236772720643;0.019951870745297397;0.1894822454356103;0.48012473545441287
499660.0;4078996.737099999;0.24751022023355837;0.020038166067502555;0.1591580133312524;0.49502044046711674
499625.0;5067299.6728;0.2328623096712282;0.020106810073802113;0.19772051826899548;0.4657246193424564
499267.0;3987456.033500001;0.2543125079437298;0.020808940195380453;0.15558619470452828;0.5086250158874596
499227.0;5691523.828999999;0.2273743609350626;0.020887390488294237;0.22207706547349343;0.4547487218701252
498799.0;3641409.537699999;0.285809675676987;0.021726808622471692;0.14208383705593483;0.571619351353974
498682.0;3701262.093600001;0.28580967567698673;0.021956275729244502;0.14441921864700094;0.5716193513539735
498541.0;3806437.8083;0.280225468353127;0.022232813011765582;0.14852306056726872;0.560450936706254
498406.0;6719038.062900002;0.2007175237661196;0.022497582750349594;0.2621695525916313;0.4014350475322392
498330.0;3533704.8882999984;0.30066192651584417;0.022646638306885777;0.13788131885602314;0.6013238530316883
497947.0;3410822.1339000002;0.2966324239842586;0.023397799861535232;0.13308656751800643;0.5932648479685172
497909.0;4805149.543799998;0.24360073925874812;0.023472327639803326;0.18749170554485603;0.48720147851749623
497751.0;5156079.008700004;0.23249268011931096;0.023782206296812762;0.20118459133338298;0.4649853602386219
497622.0;5321947.374000002;0.23021788639681018;0.024035208491459705;0.20765659442559894;0.46043577279362036
497529.0;4642692.888100002;0.2417656597205144;0.024217605422484245;0.18115282364811947;0.4835313194410288
497346.0;3302609.952499999;0.30210194438389815;0.024576515512564796;0.128864245971824;0.6042038887677963
497332.0;3493730.123099998;0.28851509327753283;0.02460397311508462;0.13632154702420288;0.5770301865550657
497238.0;3290344.1702999994;0.3171454710245144;0.024788331303432005;0.12838564849976675;0.6342909420490288
497137.0;4566169.312300001;0.2417641913293682;0.0249864182930393;0.17816695700435484;0.4835283826587364
496781.0;3127533.9692999995;0.31495273673268;0.025684625899971954;0.12203297165020284;0.62990547346536
496695.0;5923185.102000002;0.2237541142444201;0.025853294029736584;0.2311162362188672;0.4475082284888402
496644.0;5092120.7241;0.22998433836837337;0.025953318153201656;0.19868900867688677;0.45996867673674674
496634.0;3776811.1813000003;0.2826290567657994;0.0259729307264301;0.1473670618256815;0.5652581135315988
496600.0;5190496.484600002;0.2261162307644591;0.026039613475406814;0.20252752378495792;0.4522324615289182
496494.0;3225546.8968999996;0.31493528847523405;0.026247506751628333;0.12585732941340286;0.6298705769504681
496478.0;3678920.895699999;0.2827054395958079;0.026278886868793847;0.14354748941984477;0.5654108791916158
496381.0;3578225.0737;0.282647239544299;0.026469128829109765;0.13961844803706802;0.565294479088598
496379.0;6969226.4003000045;0.19877825276326724;0.026473051343755456;0.27193162922607933;0.3975565055265345
496250.0;3123493.1661999985;0.3246784052707101;0.0267260535384024;0.12187530391102339;0.6493568105414202
496224.0;5020667.3209;0.237598403275585;0.026777046228796356;0.19590097464988374;0.47519680655117
496003.0;4852393.122499999;0.24009014758853278;0.027210484097144997;0.18933509856847894;0.48018029517706556
495960.0;3150740.0557;0.31250225166292667;0.027294818162027314;0.12293844788533298;0.6250045033258533
495773.0;3197288.0370999984;0.30370638531467736;0.02766157328139924;0.12475469945935876;0.6074127706293547
495554.0;4911922.354799998;0.23255765408889084;0.02809108863510219;0.19165786442456015;0.4651153081777817
494628.0;5776651.512400001;0.2237266574457599;0.029907212916056226;0.22539865503158385;0.4474533148915198
494594.0;3098593.9230000004;0.3339236404021959;0.02997389566503294;0.12090376254029386;0.6678472808043918
494503.0;3354419.5371999997;0.2995901459533199;0.030152370081411792;0.13088579958018304;0.5991802919066398
494497.0;4812772.314299999;0.23432072652297387;0.03016413762534886;0.1877891377535718;0.46864145304594773
494483.0;3054869.4922999996;0.3293585535397289;0.03019159522786868;0.1191976828415884;0.6587171070794579
494159.0;3123317.616899999;0.32374753932359834;0.030827042600470308;0.12186845416839537;0.6474950786471967
494051.0;5608875.219100001;0.22582384014753173;0.031038858391337517;0.21885220666528918;0.45164768029506347
494031.0;3024397.5182999982;0.3293074507032865;0.03107808353779441;0.11800869958008918;0.658614901406573
493655.0;2995606.1300000004;0.34272690578048093;0.031815516291183954;0.11688529094354926;0.6854538115609619
493437.0;2988882.5617999984;0.33139593339857915;0.03224307038756406;0.11662294462993825;0.6627918667971583
493303.0;2924581.3623;0.33872104033588846;0.03250587886882523;0.11411398180725352;0.6774420806717769
493190.0;2909032.5628;0.3427269057804809;0.03272750094630666;0.11350728457320144;0.6854538115609617
493157.0;2949963.3551999982;0.333825516938043;0.032792222437960525;0.11510435954587944;0.667651033876086
493139.0;4657722.105399999;0.22655709192586015;0.032827525069771726;0.1817392473502114;0.4531141838517203
492986.0;6461237835;0.20787341255912917;0.03312759744016694;0.25211046827422645;0.41574682511825833
492895.0;2831440.1607999997;0.3470394735292478;0.03330607185654579;0.1104797134943631;0.6940789470584956
492639.0;2937266.9206;0.32966914704986516;0.033808153731193995;0.11460895848587208;0.6593382940997303
492528.0;2903788.505899998;0.3430764633952307;0.03402585329402974;0.11330266718029963;0.6861529267904614
492410.0;2728551.6677999995;0.3469438408141016;0.03425728165812539;0.10646511647554595;0.6938876816282032
492262.0;2953434.0026999977;0.3296593129517435;0.03454754774190638;0.1152397804340721;0.659318625903487
492083.0;2934665.2015;0.33856674142979865;0.03489861280269555;0.11450744223815468;0.6771334828595973
491936.0;6501504.048300004;0.1944103933021365;0.0351869176291537;0.2536816120937131;0.388820786604273
491936.0;6599272.407600004;0.19147154209382639;0.0351869176291537;0.2574964270680215;0.38294308418765277
491933.0;2896820.9841999984;0.33863025634792987;0.03519280140112223;0.11303080206662398;0.6772605126958597
491448.0;3399115.9339999994;0.2895319762620606;0.03614401120270183;0.13262980433827729;0.5790639525241212
491392.0;5780121.383600002;0.22027045669615208;0.03625384161278112;0.2255340456293954;0.44054091339230417
491349.0;2924946.585199999;0.33842074470234224;0.03633817567766344;0.11412823240732343;0.6768414894046845
491230.0;2692966.027699999;0.36308045163220914;0.03657156529908193;0.10507660352825104;0.7261609032644183
491100.0;6374687.894300001;0.20788338014948354;0.036826528751051725;0.2487333837841949;0.4157667602989671
491062.0;2962837.799199999;0.32956759218392345;0.03690105652931982;0.11560670633893949;0.6591351843678469
490976.0;2710163.9239999987;0.36294074220591305;0.037069724659084445;0.10574764672465499;0.7258814844118261
490945.0;4274118.757999999;0.24218219582094377;0.03713052363609263;0.1667714622269488;0.48436439164188755
490864.0;5372991.684600003;0.22496912875931377;0.037289385479243035;0.20964828787145728;0.44993825751862754
490671.0;2865507.8766999994;0.3430118480875715;0.037667908142552026;0.11180899869139721;0.686023696175143
490568.0;2620320.4386999994;0.37774283150283433;0.037869917646805015;0.10224205170883997;0.7554856630056687
490492.0;2605710.569399999;0.37057337839700644;0.038018973203341196;0.10167199050931314;0.7411467567940129
490473.0;3321916.5303999986;0.2951345548349459;0.03805623709247524;0.12961756762928958;0.5902691096698918
490357.0;2649303.4791999995;0.35910290731624744;0.03828374294192521;0.10337293840564053;0.7182058146324949
490271.0;2704722.172299999;0.35295401589569986;0.03845241107168984;0.10553531549581716;0.7059080317913997
490237.0;2816860.6915999986;0.3446365848315059;0.03851909382066655;0.10991083847365246;0.6892731696630118
489983.0;6103691.860100005;0.2196380079845593;0.039017253180669065;0.23815941346653685;0.4392760159691186
489939.0;6194209.549100006;0.20974535233140282;0.03910354850287422;0.24169131517696057;0.41949070466280564
489906.0;4454100.004099995;0.23618110897425718;0.03916826999452809;0.17379413456831583;0.47236221794851435
489870.0;2513757.032599999;0.3704623130742327;0.039238875258150493;0.09808406358042934;0.7409246261484654
489803.0;2722207.3995999997;0.35127549679953746;0.03937027949878108;0.10621757003512627;0.7025509935990749
489718.0;2886925531;0.3199370613347705;0.03953698637122286;0.11264469225241416;0.639874122669541
489551.0;2720128.4794999994;0.35146449612404446;0.0398645163441379;0.10613645283540385;0.7029289922480889
489452.0;5020969.8278;0.22469386592407434;0.04005868081909951;0.19591277813989028;0.4493877318481487
489300.0;2584349.6735999994;0.3630804516322091;0.04035679193217188;0.10083851160319346;0.7261609032644182
489292.0;2813784.3531000004;0.3249634145507059;0.04037248199075463;0.10979080309349615;0.6499268291014118
489100.0;2631044.0694999984;0.361031347609884;0.040749043396740785;0.10266047611165995;0.722062695219768
489046.0;2571528.1443999987;0.3633430502339499;0.04085495129217439;0.10033822948803993;0.7266861004678998
489004.0;4284875.901500001;0.23388752863769657;0.04093732409973386;0.1671911942588495;0.46777505727539315
488865.0;5038577.2848;0.22181962552144302;0.04120993886760925;0.19659980194906543;0.44363925104288604
488769.0;2589960.8581999997;0.3472050663578742;0.04139821957060232;0.10105745391938807;0.6944101327157484
488751.0;2468545.3532999996;0.3812119909878406;0.041433522202413524;0.09631995305998957;0.7624239819756812
488558.0;3784968.9283;0.2826158546336833;0.041812044865722514;0.14768536823518894;0.5652317092673667
487431.0;2461150.807299999;0.3877490078867952;0.0440223818685683;0.09603142592287708;0.7754980157735905
486884.0;2478074.073999999;0.37774283150283433;0.045095189624164256;0.09669175337118043;0.7554856630056687
486339.0;2507071.9722;0.3513434761501386;0.04616407486511453;0.09782321979926474;0.7026869523002772
486255.0;2466270.676999999;0.37419735744612664;0.04632882048023347;0.09623119766639317;0.7483947148922533
486241.0;2408088.074699999;0.3744484080245004;0.04635627808275329;0.09396097584731565;0.7488968160490008
486057.0;6067081.501300003;0.18927139416541347;0.04671714943015669;0.23673091711081404;0.37854278833082694
485969.0;2459434.570699999;0.3705733783970064;0.046889740074567005;0.09596446023860036;0.7411467567940128
485389.0;2393351.9469999988;0.3927749354970512;0.04802726932181683;0.09338598818243335;0.7855498709941025
485105.0;2349583.8241;0.39459619931417855;0.04858426640150468;0.09167820366163608;0.7891923986283571
484956.0;2477668.4755999986;0.36308045163220914;0.04887649374260851;0.09667592736304287;0.7261609032644183
484757.0;2358750.6270999997;0.38121199098784037;0.04926678394985457;0.09203588233806381;0.7624239819756807
484173.0;2426787.8993;0.3632032267938326;0.050412158226395776;0.09469062265137146;0.7264064535876652
484143.0;2787001.531899999;0.3387686595931925;0.050470995946081114;0.10874576655918673;0.677537319186385
483909.0;4679598.1338;0.22209427570290233;0.050929930159626734;0.18259282616974185;0.44418855140580465
483805.0;5482012.2962000035;0.21744288477673374;0.05113390092120256;0.2139021534841938;0.43488576955346747
483733.0;2263173.738199998;0.41377405737371803;0.05127511144844737;0.08830657615369038;0.8275481147474361
483613.0;6020068.6621;0.20900383183144025;0.051510462327188714;0.23489652729135715;0.4180076636628805
483537.0;7788412.662100001;0.18841703525096867;0.0516595178837249;0.3038953856053104;0.37683407050193735
482959.0;4584688.642200001;0.22615353731098004;0.05279312461632903;0.17888956110165685;0.45230707462196007
482854.0;2278817.2820999995;0.407754113791156;0.05299905663522771;0.08891697021111603;0.815508227582312
482656.0;2114672.009499999;0.43501413900791425;0.05338738558515093;0.08251220032073688;0.8700282780158285
482485.0;2178159.0608999995;0.40952342443650397;0.053722760587357345;0.08498939597063264;0.8190468488730079
482385.0;2131399.0308999997;0.4252175726767964;0.0539188863196418;0.08316487049101658;0.8504351453535928
481943.0;2300433.228599999;0.38792951084217187;0.05478576205633908;0.08976040091796689;0.7758590216843437
481888.0;2291316.3005999993;0.4066631019091334;0.054893631209095524;0.08940466830975802;0.8133262038182668
481853.0;2666602.207999999;0.34686047920569385;0.05496227521539509;0.10404791597645406;0.6937209584113877
481574.0;3984422.630899998;0.26049569461938404;0.05550946600846871;0.15546783463646074;0.5209913892387681
481426.0;5718246.4613;0.21430370134452503;0.0557997320922497;0.22311975350243102;0.42860740268905007
481309.0;2236653.8271999997;0.4093064743796244;0.05602919919902251;0.08727179808924843;0.8186129487592488
481165.0;2222423.6861999994;0.4091089858838284;0.05631162025351212;0.08671655347471269;0.8182179717676568
480397.0;7997110.012300002;0.18817162896903122;0.05781786587745672;0.3120385290756687;0.37634325793806245
480268.0;2169931.7838;0.4093043629665441;0.05807086807210366;0.08466837657229583;0.8186087259330882
480188.0;2027950.6178999995;0.43474392877497653;0.05822776865793123;0.07912842600318484;0.8694878575499531
480036.0;4227708.643599999;0.2221228410494068;0.0585258797710036;0.16496059007321628;0.4442456820988136
479954.0;2017574.4968999994;0.44164601579215684;0.05868670287147685;0.07872356105455072;0.8832920315843137
479548.0;5203858.071600002;0.21672679906465606;0.05948297334455172;0.20304887836769894;0.4334535981293121
479535.0;3878708.1936999992;0.2643987033395332;0.059508469689748704;0.15134297235055824;0.5287974066790664
479381.0;5869833.686800003;0.2082129208598037;0.05981050331746676;0.2290345220624397;0.4164258417196074
479373.0;2090708.1270999995;0.41751496239979463;0.05982619337604952;0.08157715571042924;0.8350299247995893
479361.0;2119073.7348999996;0.4148220974527269;0.059849728463923654;0.08268395085525479;0.8296441949054538
479353.0;2004676.2382999996;0.4276770190844995;0.05986541852250641;0.07822028504171719;0.855354038168999
479111.0;1979111.6108999995;0.4252175726767964;0.060340042794634785;0.07722278110367028;0.8504351453535928
478948.0;3789469.3192999987;0.2792047474481028;0.060659727738258444;0.14786096859403672;0.5584094948962056
478631.0;7521206.420100003;0.1872316390193986;0.06128144630960016;0.29346928885469975;0.3744632780387972
478598.0;5004630.259600003;0.2213657030778624;0.06134616780125403;0.19527522597179248;0.4427314061557248
478476.0;1918158.2057999994;0.43211914022087256;0.06158544119464106;0.07484444557492254;0.8642382804417451
478412.0;3783589.0273999996;0.2648319524667581;0.06171096166330311;0.14763152600387736;0.5296639049335162
478325.0;5457834.185700002;0.2107321317207147;0.06188159105039059;0.21295874992657793;0.4214642634414294
477863.0;1814759.5196999994;0.44113483658345715;0.06278769193354476;0.07080994137660884;0.8822696731669143
477753.0;1890099.7554999993;0.4392039830051702;0.06300343023905766;0.07374963538145407;0.8784079660103404
477548.0;5797376.206700002;0.20840736889191033;0.06340548799024079;0.22620731004757944;0.41681473778382067
477462.0;2082218.7543999995;0.4241799846312047;0.06357415612000542;0.08124590962703052;0.8483599692624094
477368.0;5212843.490599999;0.2043849836251106;0.0637585143083528;0.20339947963785468;0.4087699672502212
477171.0;1885989.0284999998;0.43008398259163594;0.06414488200095317;0.07358923928779791;0.8601679651832719
476352.0;1824237.5275999997;0.43699855343312377;0.06575115174836284;0.0711797629295367;0.8739971068662475
476138.0;2050053.6722999997;0.4116155333000698;0.06617086081545157;0.0799908631301529;0.8232310666001396
476065.0;2349141.3061999995;0.38686402026603656;0.06631403260001922;0.09166093709478965;0.7737280405320731
475706.0;2034131.0222999996;0.4198853066974192;0.0670181239789204;0.07936957865646867;0.8397706133948384
475615.0;2147248.5972;0.4031072054471435;0.06719659839529926;0.08378330331826701;0.806214410894287
475609.0;1781626.9899999995;0.44347017636431035;0.06720836593923632;0.06951714612729472;0.8869403527286207
475476.0;8529456.175099999;0.18156634487282275;0.06746921316317465;0.33281009697253355;0.3631326897456455
