a;b;c;d;e;f
474323.0;1954618.8745000002;0.1767377879573364;0.1669658161688257;0.06025985430202988;0.3534755759146728
474287.0;1672729.5518999994;0.24739632433337513;0.16702904150391998;0.05156935727942275;0.49479264866675027
473528.0;773573.8562000002;0.44769691202598655;0.1683620423188243;0.02384886817303238;0.8953938240519731
473210.0;1458608.2949000003;0.29878444385021224;0.16892053277882374;0.04496811346758856;0.5975688877004245
473072.0;1899645439;0.18245065611090538;0.1691628965633518;0.0585650526929134;0.36490131222181077
472773.0;1657036.0082999992;0.2613887077214178;0.16968801809649592;0.05108553372529869;0.5227774154428356
472613.0;720238.9238;0.4684482177135798;0.1699690195858038;0.022204580737992252;0.9368964354271596
472333.0;1391314.6684;0.31198236664121226;0.17046077219209263;0.04289348696047344;0.6239647332824245
471545.0;862555.5250999996;0.44330360311340417;0.17184470452693398;0.02659212542559373;0.8866072062268083
471509.0;678624.0941999998;0.4717921711594293;0.17190792986202827;0.020921617802754408;0.9435843423188586
471237.0;725314.7340000003;0.4539309335301406;0.17238563239385168;0.02236106525121738;0.9078618670602812
470723.0;1764950.7539999995;0.2233321421733056;0.1732883496782533;0.05441248760759255;0.4466642843466112
470548.0;990741.2150000002;0.410288192687271;0.1735956950571838;0.030544021673886722;0.820576385374542
470294.0;2189215.3448;0.14371796917157348;0.17404178492146008;0.06749233798694504;0.28743593834314696
470090.0;694053.1108000001;0.46521098004227773;0.17440006182032763;0.021397286130973872;0.9304219600845555
469944.0;910836.1098999999;0.4274560071608586;0.1746564756793211;0.028080590027885596;0.8549120143217172
469797.0;650410.2692;0.4664507755484061;0.17491464579762273;0.020051800670635563;0.9329015510968122
469749.0;1693968.0971999995;0.2432095718088942;0.1749989462444151;0.05222413026972883;0.4864191436177884
469603.0;2149976.658999999;0.14398954076339668;0.17525536010340856;0.0662826302939729;0.28797908152679336
469552.0;1668872.7248999996;0.2300033273258375;0.17534492932812543;0.0514504533661739;0.460006654651675
469341.0;1031828.9452999999;0.40531866633828034;0.17571550004215022;0.031810734419670694;0.8106373326765607
469285.0;843836.9896999998;0.44066167881229956;0.17581385056340798;0.026015042992457032;0.8813233576245991
469176.0;1297496.2440000002;0.32339218125709895;0.176005282827999;0.04000111512320865;0.6467843625141979
469163.0;939796.5158000002;0.4060625702884588;0.17602811419900524;0.028973423849777385;0.8121251405769176
468616.0;1971236.8933;0.16687045612130344;0.1769887880405766;0.060772178932033544;0.3337409122426069
468615.0;892652.5157999996;0.44055759331821087;0.17699054429988478;0.027519999548867753;0.8811151866364217
468270.0;684383.8448000001;0.4649479375971898;0.17759645376120495;0.02109918783264621;0.9298958751943796
468235.0;649955.1521;0.47211647255288774;0.17765792283699103;0.020037769653901735;0.9442329451057755
468203.0;895018.9715999999;0.43966162105739376;0.1777141231348526;0.02759295611527597;0.8793232421147875
468010.0;1445742.8006999986;0.3094421813049652;0.17805308118133026;0.04457147716363696;0.6188843626099304
467106.0;1553017.9803999995;0.27254681184916146;0.17964073959591986;0.047878713568278636;0.5450936236983229
467075.0;1871423.1898999987;0.17810475808930676;0.17969518363447326;0.057694975850297876;0.3562095161786135
466752.0;1296205.0156999992;0.3270735423218947;0.18026245539101357;0.03996130724544597;0.6541470846437893
466452.0;1426745.1126000006;0.3020919187819816;0.18078933318346588;0.043985788602088544;0.6041838375639632
466384.0;1072665.4739999997;0.39223944563508534;0.18090875881642174;0.03306970275450381;0.7844788912701707
466220.0;1620071.2401;0.2714366414354165;0.18119678534296232;0.049945929695530966;0.542873282870833
466026.0;1549215.8453999998;0.2825930509072067;0.18153749964874813;0.04776149578013298;0.5651861018144134
465890.0;1673156.006399999;0.22937914676419394;0.18177635091465985;0.051582504643531264;0.4587582935283879
465611.0;1588327.9639999997;0.2672508665039724;0.18226634726164048;0.048967301474034615;0.5345017330079448
465223.0;1220876.6101000002;0.35945550877435595;0.18294777587321212;0.037638972796782;0.7189110175487119
465174.0;1385726.2670999996;0.305388060331888;0.18303383257931266;0.042721199537839476;0.610776120663776
465137.0;1739745.3674999997;0.22359584942111657;0.18309881417371512;0.05363541902510233;0.44719169884223314
464650.0;1521634.549999999;0.29034098077178244;0.18395411245679602;0.04691117919721835;0.5806819615435649
464246.0;1062987837;0.3959442050174955;0.18466364121729845;0.03277134638272413;0.791888410034991
463330.0;1259928.792799999;0.3407237494040648;0.18627237474358613;0.038842930698948556;0.6814474988081296
462898.0;1744384.9649999987;0.2138500957165832;0.18703107876471745;0.05377845533413292;0.4277001914331664
462870.0;840272.4479;0.4415419432742543;0.18708025402534634;0.025905150075569882;0.8830838865485086
462527.0;807712.7173;0.4434927083567647;0.18768265096805012;0.02490135099859062;0.8869854167135294
462281.0;1112313.2158;0.38915680788910567;0.18811469075786103;0.03429202142513656;0.7783136157782113
461981.0;1528656.3235;0.2827313797608225;0.1886415685503133;0.047127656718013874;0.565462759521645
461647.0;1869098.5403;0.16969677131216765;0.18922815915924354;0.057623308146672006;0.3393935426243353
461438.0;1612334.5676999993;0.2649188604783223;0.18959521735465198;0.049707412224074626;0.5298377209566446
461337.0;1119669.5669;0.38857548523095253;0.1897725995447776;0.03451881379436198;0.7771509704619051
460526.0;1385006.2449999999;0.3218591776389063;0.19119692584370698;0.04269900164166326;0.6437183552778126
460476.0;953059.3858999999;0.40161279930371496;0.1912847388091157;0.029382311040154676;0.8032255986074299
460429.0;1820859.7552999998;0.178821654364177;0.19136728299659989;0.05613613220985387;0.357643308728354
460347.0;1641520.1442;0.262278040994575;0.19151129625987018;0.05060718793511224;0.52455608198915
459799.0;839951.5667000001;0.43329672614515097;0.19247372636074972;0.025895257479825247;0.8665934522903019
459749.0;688783.2306999998;0.4648582770602279;0.19256153932615844;0.021234818546546998;0.9297165541204558
459663.0;1526896.1160999995;0.27864914582389394;0.1927125776266614;0.047073390465472695;0.5572982916477879
459122.0;764062.3818999999;0.4442997942141885;0.19366271391238374;0.023555634508407027;0.888599588428377
458798.0;1664058.5172000004;0.2500705058532026;0.19423174192823223;0.051302033918082836;0.5001410117064052
458536.0;1288170.3408000006;0.3366416747971707;0.1946918818669739;0.039713602516327384;0.6732833495943414
458149.0;634550.2223999999;0.46855531783015947;0.19537155421923735;0.019562843911924296;0.9371106356603189
458053.0;1232930.161599999;0.3432266112943159;0.1955401551128221;0.038010577341631054;0.6864532225886318
